
Host: msituf

Timers On : Mon Sep 13 15:13:13 2021
Timers Off: Mon Sep 13 15:32:18 2021

Wall Time:     1145.29 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.050u      0.000s      0.615w     23 calls
DFH: initialize()                   :     75.350u      2.683s     11.715w     23 calls
DFH: AO Construction                :     20.167u      0.600s      3.118w     23 calls
DFH: AO-Met. Contraction            :     28.200u      1.467s      4.443w     23 calls
HF: Form core H                     :      0.083u      0.033s      0.030w     23 calls
HF: Form S/X                        :      0.333u      0.000s      0.047w     23 calls
HF: Guess                           :      2.967u      0.033s      0.451w     23 calls
SAD Guess                           :      2.833u      0.033s      0.432w      2 calls
HF: Form G                          :     54.200u      5.183s      8.944w    267 calls
JK: D                               :      0.000u      0.000s      0.007w    267 calls
JK: USO2AO                          :      0.033u      0.000s      0.004w    267 calls
JK: JK                              :     54.000u      5.183s      8.909w    267 calls
DFH: compute_JK()                   :     54.000u      5.183s      8.908w    267 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    267 calls
DFH: compute_J                      :     13.050u      0.033s      1.954w    267 calls
DFH: compute_K                      :     36.400u      4.217s      6.461w    267 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    267 calls
HF: Form F                          :      0.050u      0.000s      0.010w    267 calls
HF: Form D                          :      0.050u      0.000s      0.006w    267 calls
HF: DIIS                            :      2.217u      0.233s      0.330w    265 calls
DIISManager::add_entry              :      0.517u      0.067s      0.062w    244 calls
DIISManager::extrapolate            :      0.700u      0.117s      0.118w    244 calls
bMatrix setup                       :      0.283u      0.017s      0.052w    244 calls
bMatrix pseudoinverse               :      0.100u      0.000s      0.009w    244 calls
New vector                          :      0.317u      0.100s      0.056w    244 calls
HF: Form C                          :      3.417u      0.033s      0.530w    265 calls
Grad: V T Perturb                   :     14.383u      0.067s      2.174w     22 calls
Grad: S                             :      0.050u      0.000s      0.016w     22 calls
Grad: JK                            :    191.383u      5.917s     29.600w     22 calls
JKGrad: Amn                         :     45.833u      2.567s      7.261w     22 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     22 calls
JKGrad: AB                          :     24.383u      0.383s      3.708w     22 calls
JKGrad: UV                          :      3.150u      0.350s      0.532w     22 calls
JKGrad: ABx                         :      5.500u      0.033s      0.831w     22 calls
JKGrad: Amnx                        :    107.517u      2.483s     16.501w     22 calls
Grad: XC                            :      0.000u      0.000s      0.000w     22 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      1.050u      0.000s      0.615w     23 calls
DFH: initialize()                   :     75.350u      2.683s     11.715w     23 calls
| DFH: AO Construction              :     20.167u      0.600s      3.118w     23 calls
| DFH: AO-Met. Contraction          :     28.200u      1.467s      4.443w     23 calls
HF: Form core H                     :      0.083u      0.033s      0.030w     23 calls
HF: Form S/X                        :      0.333u      0.000s      0.047w     23 calls
HF: Guess                           :      2.967u      0.033s      0.451w     23 calls
| SAD Guess                         :      2.833u      0.033s      0.432w      2 calls
HF: Form G                          :     54.200u      5.183s      8.944w    267 calls
| JK: D                             :      0.000u      0.000s      0.007w    267 calls
| JK: USO2AO                        :      0.033u      0.000s      0.004w    267 calls
| JK: JK                            :     54.000u      5.183s      8.909w    267 calls
| | DFH: compute_JK()               :     54.000u      5.183s      8.908w    267 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    267 calls
| | | DFH: compute_J                :     13.050u      0.033s      1.954w    267 calls
| | | DFH: compute_K                :     36.400u      4.217s      6.461w    267 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    267 calls
HF: Form F                          :      0.050u      0.000s      0.010w    267 calls
HF: Form D                          :      0.050u      0.000s      0.006w    267 calls
HF: DIIS                            :      2.217u      0.233s      0.330w    265 calls
